                                                                                                                               MINISTERIO DE TRANSPORTES
                                                                                                                          LISTADO DE INFRACCIONES POR EMPRESA
========================================================================================================================================================================================================================================================================================
                                             EMPRESA                                                                                               FECHA INF.         FECHA PAGO                             TOTAL PAGADO                             CANTIDAD
No.  DNI        NOMBRE                                       DISTRITO                     PLACAS                                                  MAS ANTIGUA        MAS RECIENTE                LEVES          GRAVES           MUY GRAVES           DE FALTAS
========================================================================================================================================================================================================================================================================================
 1)  90467829   IPARRAGUIRRE PEREZ NICOLAS                   MIRAFLORES                   P985-495/G189-507/P863-768/M844-240/G600-343            04/01/2020          26/02/2025                182.63         5327.85           11257.89              20
 2)  79766395   FUENTES ESCALANTE PATRICIA ELIZABETH         SANTA ANITA                  G485-562/P195-859/G763-950                              06/01/2020          07/04/2024                197.91         2464.52            9060.88              14
 3)  89314225   RIOS DURAND CARLOS EDILBERTO                 CERCADO DE LIMA              P355-270/G760-721/P152-838/G256-432/M288-737            11/01/2020          18/03/2025               1005.61         3492.61           13401.95              24
 4)  47844324   VILCA LEE NESTOR HUGO                        COMAS                        P618-120                                                12/01/2020          26/12/2023                220.25          840.79            3969.09               7
 5)  81799482   CERNA CERNA CINTHIA                          PUCUSANA                     G605-765/M359-944/G592-689/M561-874/G635-752            15/01/2020          17/07/2024                197.91         4526.69            5042.26              20
 6)  80310768   MINAYA BERROCAL HELI                         CARABAYLLO                   M982-853/G752-478/G893-799/M267-848/M477-146            15/01/2020          27/04/2025                470.57         6334.75           14901.11              30
 7)  77367073   JAUREGUI DEL CASTILLO VICTOR RICARDO         SAN JUAN DE MIRAFLORES       G974-598/G542-724/M655-400                              18/01/2020          09/10/2024                583.61         5359.16            9804.42              26
 8)  79641328   TOKESHI GUEVARA JAIME                        CIENEGUILLA                  G734-120/M512-863/G437-799                              19/01/2020          15/03/2025                  0.00         2910.06            7790.53              13
 9)  81528434   EPIQUEN AVILA ENRIQUE                        JESUS MARIA                  G377-489/M832-314/M837-854/P325-587/G650-450            28/01/2020          25/03/2025                390.76         4524.10           30817.88              25
10)  73818744   FUENTES GAMARRA HUGO                         PUEBLO LIBRE                 G662-512/G393-114/P251-666/G938-342                     29/01/2020          26/01/2025                250.32         5559.61            3672.94              21
11)  12270502   CUEVA FUENTES CINTHIA DELIA                  EL AGUSTINO                  G855-340/G266-362/P246-429/G991-678/G250-663            01/02/2020          06/05/2025                214.55         4567.91            6026.56              22
12)  73972114   AVILA MARTEL JAIME MANUEL                    SAN JUAN DE LURIGANCHO       M862-577/G657-925/M646-319/M655-864/P255-643            08/02/2020          04/05/2025                182.63         4998.23           10070.96              22
13)  88854166   PINTO ROJAS JUVENAL FRANCISCO                JESUS MARIA                  P324-421/G411-657/M257-722/G568-563/P131-555            17/02/2020          16/02/2025                250.32         7602.07            1404.82              22
14)  77763722   FARFAN SALAZAR MARGOT                        LA MOLINA                    P163-421/P482-255/M277-299                              20/02/2020          10/04/2025                  0.00         3172.80            8227.75              12
15)  81485316   JUSTINO MARTINEZ ENRIQUE                     SANTA MARIA DEL MAR          P486-917/M500-707/G156-830/M774-204/G710-594            22/02/2020          07/02/2025                  0.00         4419.89            4311.67              17
16)  88167677   PRADO VERA JUAN                              SAN MIGUEL                   G264-957/G325-333/P665-969/M366-914/M435-175            22/02/2020          18/12/2024                602.73         9018.70           10697.16              33
17)  80457845   NORABUENA MOYA HECTOR                        JESUS MARIA                  G616-581/P670-603/G874-915/G410-582/M912-415            07/03/2020          02/10/2024                220.25         6835.37            9687.78              27
18)  89941095   ARCA LARRIEGA LUCERO YLIANA                  COMAS                        P860-616/G226-459/P474-593/G138-788/M708-335            21/03/2020          16/11/2024                  0.00         8356.00            9723.38              32
19)  12443643   LEE SERRANO ROSARIO                          SANTA MARIA DEL MAR          M421-807/G926-575/P235-315/M483-214                     09/04/2020          07/06/2024                398.40         4427.68            4597.80              17
20)  75945248   MEJIA RODRIGUEZ INES VALENTINA               PUNTA HERMOSA                P939-759/G450-448/G721-932                              17/04/2020          01/03/2025                  0.00         2800.52           11110.21              13
21)  48450395   RAMIREZ ASTETE KARINA ESTEFANIA              MAGDALENA DEL MAR            P692-666/G328-654/M317-350/P559-672                     02/05/2020          11/04/2025                190.27         5544.62           10291.08              24
22)  87495937   MORALES PASQUEL KARIN MARIBEL                INDEPENDENCIA                G329-867                                                06/05/2020          27/04/2023                  0.00         1223.82             538.95               4
23)  13628871   QUIROGA HERNANDEZ SILVANA ZKENIA MARIA       INDEPENDENCIA                P203-441                                                06/05/2020          28/07/2020                  0.00          873.64             523.54               3
24)  87282766   SUAREZ CHANG GLORIA                          SAN BARTOLO                  M440-802                                                14/05/2020          31/12/2023                  0.00         1192.59            1175.38               5
25)  73567806   ARCA SANCHEZ MAGALI BEATRIZ IRIS             SANTA ANITA                  M993-637/P426-388/M666-407/G458-550                     22/05/2020          28/12/2024                619.37         1889.45           12846.07              14
26)  75348522   LOZADA FORZANI DELIA                         INDEPENDENCIA                G113-951/G841-644/P310-575/G938-356/G744-786            16/06/2020          29/09/2024                778.94         6722.73            7193.72              26
27)  48528209   ZAVALETA CORONADO FELICITA ELOISA            VILLA MARIA DEL TRIUNFO      G262-654/G958-240/G402-859/P156-716/G400-314            24/07/2020          19/11/2024                795.58         3993.73           12989.69              22
28)  86429854   MOSCOSO LAURA JANET VALENTINA                PUNTA HERMOSA                M580-968/P364-899/M510-956/G374-384/M360-947            01/08/2020          17/12/2024                398.40         3227.59           12373.66              23
29)  47528229   SAAVEDRA GONZALES WILMER                     CHORRILLOS                   P325-365/M466-711                                       23/08/2020          28/02/2025                  0.00         2814.55            6681.00              12
30)  12858682   ZARATE PEREZ ALEXANDER                       BARRANCO                     M207-572/G520-337/M137-958                              15/09/2020          08/11/2024                220.25         3953.95            3165.22              15
31)  74325123   TANG MOSCOSO JOHANA                          LA MOLINA                    P905-539/P770-513/G968-856/G214-608/M348-264            18/09/2020          12/12/2023                860.69         3947.40           19980.81              23
32)  79672079   CONTRERAS CHANG JOHANA CINTHIA               CHORRILLOS                   P599-629/P282-128/M852-620                              24/09/2020          19/09/2024                214.55         3137.53             570.44              10
33)  86718074   ESCALANTE ROJAS INES ADRIA                   JESUS MARIA                  G368-136                                                01/10/2020          18/04/2025                220.25         2131.79               0.00               6
34)  85501710   VIZCARDO SINCHE MARIBEL                      SAN BORJA                    M651-665/P532-434                                       23/10/2020          31/03/2025                182.63         1516.46            1717.28               8
35)  13219606   RODRIGUEZ MORENO BLANCA OFELIA               PUEBLO LIBRE                 P201-291/M312-270                                       15/11/2020          17/08/2024                  0.00          826.92            5029.33               6
36)  82870470   SEDANO RETAMOSO ELIA YOLANDA                 RIMAC                        P478-603/P516-487                                       09/12/2020          26/10/2024                  0.00         1687.82            5636.72               9
37)  19568447   VEGA SORIA HENRRY                            SAN JUAN DE LURIGANCHO       M907-605                                                12/02/2021          24/10/2024                  0.00          828.23            2934.68               4
38)  84186239   RIVERO CORONADO HECTOR ALONSO JOSE           LINCE                        P582-282/G872-544                                       01/05/2021          11/01/2025                  0.00         1593.91            8096.07               8
39)  82031355   EGUSQUIZA BERROCAL DORIS NANCY               PUCUSANA                     P386-900/M599-949                                       26/06/2022          28/07/2022                  0.00            0.00             592.92               1
========================================================================================================================================================================================================================================================================================
                                                                                                                                                                                 TOTALES:      9849.38       144646.04          297913.60             640
========================================================================================================================================================================================================================================================================================
